year,site,treatment,microsite,bulk_density.gcm3
2018,RG47,Control,Interspace,1.8724718892608347
2018,RG47,Tebuthiuron,Interspace,1.4057163407159898
2018,RG47,Tebuthiuron,Canopy,1.407226386670602
2018,RG47,Tebuthiuron,Canopy,1.5173106859479988
2018,RG47,Tebuthiuron,Canopy,1.3961064709405444
2018,RG47,Control,Canopy,1.3834520488810071
2018,RG47,Tebuthiuron,Canopy,1.551336113389357
2018,RG47,Control,Interspace,1.8509299428711112
2018,RG47,Control,Interspace,1.801523366583205
2018,RG47,Tebuthiuron,Interspace,1.6360877379408152
2018,RG47,Tebuthiuron,Canopy,1.2606756908965782
2018,RG47,Control,Interspace,1.3464629803910213
2018,RG47,Tebuthiuron,Canopy,1.1648646516911665
2018,RG47,Tebuthiuron,Canopy,1.2456944069738582
2018,RG47,Control,Interspace,1.697999780837181
2018,RG47,Control,Interspace,1.276304141167592
2018,RG47,Control,Canopy,1.6386613996230242
2018,RG47,Control,Interspace,1.3748616161872127
2018,RG47,Tebuthiuron,Interspace,1.0184169220670491
2018,RG47,Control,Interspace,1.2557781386944256
2018,RG47,Tebuthiuron,Interspace,1.5661733422895172
2018,RG47,Tebuthiuron,Interspace,1.7069491058332402
2018,RG47,Tebuthiuron,Canopy,1.3463431697881862
2018,RG47,Control,Interspace,1.6705145069189264
2018,RG47,Control,Canopy,1.242118564822284
2018,RG47,Control,Canopy,1.6251103097742479
2018,RG47,Tebuthiuron,Interspace,1.4609885145508648
2018,RG47,Tebuthiuron,Interspace,1.146455323927837
2018,RG47,Tebuthiuron,Canopy,1.6394270257320374
2018,RG47,Control,Canopy,1.4210078381417794
2018,RG47,Control,Canopy,1.71337547942212
2018,RG47,Control,Canopy,1.3235218632107915
2018,RG47,Control,Canopy,1.1844539047726603
2018,RG47,Control,Canopy,1.5743719630932074
2018,RG47,Control,Interspace,1.6587803215318624
2018,RG47,Tebuthiuron,Interspace,1.2735057214055876
2018,RG47,Control,Canopy,1.8938372623194946
2018,RG47,Tebuthiuron,Canopy,1.2244447198907225
2018,RG47,Tebuthiuron,Interspace,1.2681382718688572
2018,RG47,Tebuthiuron,Interspace,1.6408855789047758
