year,site,treatment,microsite,sample_ID,sand.pct,silt.pct,clay.pct,texture_class
2018,RG47,Tebuthiuron,Canopy,1,84,10,6,Loamy Sand
2018,RG47,Tebuthiuron,Canopy,2,82,12,6,Loamy Sand
2018,RG47,Tebuthiuron,Canopy,3,82,10,8,Loamy Sand
2018,RG47,Tebuthiuron,Canopy,4,76,16,8,Sandy Loam
2018,RG47,Tebuthiuron,Canopy,5,80,12,8,Loamy Sand
2018,RG47,Tebuthiuron,Canopy,6,78,14,8,Sandy Loam
2018,RG47,Tebuthiuron,Canopy,7,74,16,10,Sandy Loam
2018,RG47,Tebuthiuron,Canopy,8,82,10,8,Loamy Sand
2018,RG47,Tebuthiuron,Canopy,9,78,14,8,Sandy Loam
2018,RG47,Tebuthiuron,Canopy,10,86,8,6,Loamy Sand
2018,RG47,Tebuthiuron,Interspace,11,82,10,8,Loamy Sand
2018,RG47,Tebuthiuron,Interspace,12,82,10,8,Loamy Sand
2018,RG47,Tebuthiuron,Interspace,13,82,10,8,Loamy Sand
2018,RG47,Tebuthiuron,Interspace,14,82,12,6,Loamy Sand
2018,RG47,Tebuthiuron,Interspace,15,82,12,6,Loamy Sand
2018,RG47,Tebuthiuron,Interspace,16,78,14,8,Sandy Loam
2018,RG47,Tebuthiuron,Interspace,17,80,14,6,Loamy Sand
2018,RG47,Tebuthiuron,Interspace,18,78,14,8,Sandy Loam
2018,RG47,Tebuthiuron,Interspace,19,80,12,8,Loamy Sand
2018,RG47,Tebuthiuron,Interspace,20,82,10,8,Loamy Sand
2018,RG47,Control,Canopy,21,84,10,6,Sandy Loam
2018,RG47,Control,Canopy,22,84,10,6,Loamy Sand
2018,RG47,Control,Interspace,23,82,10,8,Loamy Sand
2018,RG47,Control,Canopy,24,82,12,6,Loamy Sand
2018,RG47,Control,Canopy,25,82,10,8,Loamy Sand
2018,RG47,Control,Interspace,26,80,10,10,Loamy Sand
2018,RG47,Control,Canopy,27,80,12,8,Loamy Sand
2018,RG47,Control,Canopy,28,84,10,6,Loamy Sand
2018,RG47,Control,Interspace,29,78,14,8,Sandy Loam
2018,RG47,Control,Interspace,30,76,14,10,Loamy Sand
2018,RG47,Control,Interspace,31,82,14,4,Loamy Sand
2018,RG47,Control,Canopy,32,80,12,8,Loamy Sand
2018,RG47,Control,Interspace,33,84,10,6,Loamy Sand
2018,RG47,Control,Canopy,34,82,12,6,Loamy Sand
2018,RG47,Control,Canopy,35,82,12,6,Loamy Sand
2018,RG47,Control,Interspace,36,80,12,8,Loamy Sand
2018,RG47,Control,Canopy,37,82,16,2,Loamy Sand
2018,RG47,Control,Interspace,38,84,12,4,Loamy Sand
2018,RG47,Control,Interspace,39,82,14,4,Loamy Sand
2018,RG47,Control,Interspace,40,82,12,6,Loamy Sand
