    "Time",    "Rainfall",     "Outflow",     "Outflow",   "Total Sed","     0.200mm","     0.300mm","     0.030mm","     0.010mm","     0.002mm"
   "(min)",     "(mm/hr)",     "(mm/hr)",   "(cu m /s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)"
      0.00,      64.00000,       0.00000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.10,      64.00000,       0.00000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.20,      64.00002,       0.00000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.30,      63.99997,       0.00002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.40,      64.00002,       0.00004,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.50,      64.00002,       0.00008,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.60,      63.99999,       0.00013,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.70,      63.99995,       0.00021,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.80,      64.00002,       0.00031,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.90,      64.00002,       0.00043,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.00,      64.00002,       0.00059,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.10,      64.00002,       0.00080,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.20,      63.99995,       0.00105,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.30,      64.00002,       0.00135,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.40,      64.00002,       0.00172,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.50,      63.99989,       0.00215,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.60,      64.00002,       0.00266,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.70,      64.00002,       0.00325,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.80,      64.00002,       0.00392,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.90,      64.00002,       0.00470,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.00,      64.00002,       0.00557,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.10,      64.00002,       0.00656,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.20,      64.00002,       0.00766,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.30,      64.00002,       0.00890,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.40,      64.00002,       0.01027,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.50,      63.99989,       0.01179,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.60,      64.00002,       0.01347,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.70,      64.00002,       0.01533,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.80,      64.00002,       0.01737,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.90,      64.00002,       0.01962,     0.0000003,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      3.00,      64.00002,       0.02210,     0.0000003,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      3.10,      63.99974,       0.02481,     0.0000003,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      3.20,      64.00002,       0.02779,     0.0000004,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      3.30,      64.00002,       0.03106,     0.0000004,     0.0000139,     0.0000025,     0.0000051,     0.0000045,     0.0000017,     0.0000002
      3.40,      64.00002,       0.03464,     0.0000005,     0.0000185,     0.0000038,     0.0000078,     0.0000046,     0.0000017,     0.0000006
      3.50,      64.00002,       0.03858,     0.0000005,     0.0000218,     0.0000048,     0.0000098,     0.0000048,     0.0000018,     0.0000007
      3.60,      64.00002,       0.04289,     0.0000006,     0.0000252,     0.0000058,     0.0000118,     0.0000049,     0.0000018,     0.0000007
