    "Time",    "Rainfall",     "Outflow",     "Outflow",   "Total Sed","     0.200mm","     0.300mm","     0.030mm","     0.010mm","     0.002mm"
   "(min)",     "(mm/hr)",     "(mm/hr)",   "(cu m /s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)"
      0.00,      120.0000,       0.00000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.10,      120.0000,       0.00003,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.20,      120.0000,       0.00031,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.30,      120.0000,       0.00111,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.40,      120.0000,       0.00267,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.50,      120.0000,       0.00527,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.60,      120.0000,       0.00925,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.70,      120.0000,       0.01503,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.80,      120.0000,       0.02314,     0.0000003,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.90,      120.0000,       0.03427,     0.0000005,     0.0000213,     0.0000036,     0.0000074,     0.0000064,     0.0000036,     0.0000003
      1.00,      119.9999,       0.04926,     0.0000007,     0.0000404,     0.0000063,     0.0000127,     0.0000126,     0.0000082,     0.0000006
      1.10,      120.0001,       0.06914,     0.0000010,     0.0000677,     0.0000103,     0.0000208,     0.0000211,     0.0000143,     0.0000012
      1.20,      120.0001,       0.10712,     0.0000015,     0.0001223,     0.0000199,     0.0000404,     0.0000391,     0.0000208,     0.0000022
      1.30,      119.9999,       0.17022,     0.0000024,     0.0002210,     0.0000408,     0.0000828,     0.0000663,     0.0000269,     0.0000041
      1.40,      119.9999,       0.26136,     0.0000036,     0.0003728,     0.0000814,     0.0001653,     0.0000858,     0.0000322,     0.0000081
      1.50,      120.0001,       0.38284,     0.0000053,     0.0005771,     0.0001903,     0.0002379,     0.0000988,     0.0000367,     0.0000135
      1.60,      119.9999,       0.53588,     0.0000074,     0.0008351,     0.0004041,     0.0002663,     0.0001087,     0.0000403,     0.0000157
      1.70,      120.0001,       0.71410,     0.0000099,     0.0011328,     0.0006745,     0.0002832,     0.0001156,     0.0000429,     0.0000167
      1.80,      119.9999,       0.91783,     0.0000127,     0.0012665,     0.0007889,     0.0002951,     0.0001204,     0.0000447,     0.0000174
      1.90,      120.0001,       1.14734,     0.0000159,     0.0013065,     0.0008138,     0.0003044,     0.0001242,     0.0000461,     0.0000179
      2.00,      119.9998,       1.40286,     0.0000195,     0.0013425,     0.0008362,     0.0003128,     0.0001277,     0.0000474,     0.0000184
      2.10,      120.0001,       1.68460,     0.0000234,     0.0013775,     0.0008580,     0.0003210,     0.0001310,     0.0000486,     0.0000189
      2.20,      120.0001,       1.99270,     0.0000277,     0.0014136,     0.0008805,     0.0003294,     0.0001344,     0.0000499,     0.0000194
      2.30,      120.0001,       2.32726,     0.0000323,     0.0014533,     0.0009053,     0.0003386,     0.0001382,     0.0000513,     0.0000199
      2.40,      120.0001,       2.68836,     0.0000373,     0.0014974,     0.0009327,     0.0003489,     0.0001424,     0.0000529,     0.0000205
      2.50,      120.0001,       3.07603,     0.0000427,     0.0015396,     0.0009590,     0.0003587,     0.0001464,     0.0000543,     0.0000211
      2.60,      119.9998,       3.49028,     0.0000485,     0.0015802,     0.0009843,     0.0003682,     0.0001503,     0.0000558,     0.0000216
      2.70,      120.0001,       3.93109,     0.0000546,     0.0016191,     0.0010086,     0.0003773,     0.0001540,     0.0000572,     0.0000222
      2.80,      120.0001,       4.39844,     0.0000611,     0.0016567,     0.0010319,     0.0003860,     0.0001576,     0.0000585,     0.0000227
